problem_index,family,corruption_type,is_correct,verdict,caught,difference_multiple_of_M
21,factorial,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
22,fibonacci,correct,1,NOT_RULED_OUT,,1
22,fibonacci,random_offset,0,RULED_OUT_WRONG,1,0
22,fibonacci,digit_transpose,0,RULED_OUT_WRONG,1,0
22,fibonacci,off_by_power10,0,RULED_OUT_WRONG,1,0
22,fibonacci,sign_flip,0,RULED_OUT_WRONG,1,0
22,fibonacci,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
22,fibonacci,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
23,bigsum,correct,1,NOT_RULED_OUT,,1
23,bigsum,random_offset,0,RULED_OUT_WRONG,1,0
23,bigsum,digit_transpose,0,RULED_OUT_WRONG,1,0
23,bigsum,off_by_power10,0,RULED_OUT_WRONG,1,0
23,bigsum,sign_flip,0,RULED_OUT_WRONG,1,0
23,bigsum,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
23,bigsum,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
24,bigprod,correct,1,NOT_RULED_OUT,,1
24,bigprod,random_offset,0,RULED_OUT_WRONG,1,0
24,bigprod,digit_transpose,0,RULED_OUT_WRONG,1,0
24,bigprod,off_by_power10,0,RULED_OUT_WRONG,1,0
24,bigprod,sign_flip,0,RULED_OUT_WRONG,1,0
24,bigprod,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
24,bigprod,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
25,power,correct,1,NOT_RULED_OUT,,1
25,power,random_offset,0,RULED_OUT_WRONG,1,0
25,power,digit_transpose,0,RULED_OUT_WRONG,1,0
25,power,off_by_power10,0,RULED_OUT_WRONG,1,0
25,power,sign_flip,0,RULED_OUT_WRONG,1,0
25,power,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
25,power,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
26,factorial,correct,1,NOT_RULED_OUT,,1
26,factorial,random_offset,0,RULED_OUT_WRONG,1,0
26,factorial,digit_transpose,0,RULED_OUT_WRONG,1,0
26,factorial,off_by_power10,0,RULED_OUT_WRONG,1,0
26,factorial,sign_flip,0,RULED_OUT_WRONG,1,0
26,factorial,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
26,factorial,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
27,fibonacci,correct,1,NOT_RULED_OUT,,1
